School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Kea Street Specialist School,"Bay of Plenty, Waiariki",2019,Highlighted matter,"We highlighted that the school failed to comply with Section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005. This is because the school did not get permission from the Minister of Education and Minister of Finance before it borrowed money, where the amount to be repaid, in total, was more than 10% of the school's operations grant for the year. We also highlighted that the Board breached the law by failing to submit its financial statements to the Ministry of Education by 31 May 2020 as a result of Covid-19 restrictions.",,,,,176.223575,-38.116624
Tangimoana School,"Taranaki, Whanganui, Manawatū",2020,Highlighted matter,"We highlighted that the school failed to comply with Section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005. The school failed to get permission from the Minister of Education and Minister of Finance before it borrowed money, where the amount to be repaid, in the year, was more than 10% of the school's operational activities grant for the year. ",,,,,175.2492,-40.296121
Horizon School,Tāmaki Herenga Tāngata,2020,Highlighted matter,"We highlighted that the Board breached Schedule 23, Section 10 of the Education and Training Act 2020 by failing to obtain approval from the Ministry of Education for payments to a Board member in excess of $25,000 for the year ended 31 December 2020.",,,,,174.731165,-36.427977
Waerenga-O-Kuri School,"Hawke's Bay, Tairāwhiti",2020,Highlighted matter,"We drew attention to disclosures outlining that the school breached Schedule 23, Section 9  of the Education and Training Act 2020 by having more than one permanent staff member on the Board.",,,,,177.771687,-38.687971
Our Lady Of Lourdes School (P.North),"Taranaki, Whanganui, Manawatū",2020,Highlighted matter,"We highlighted that the school failed to comply with Section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005. This is because the school did not get permission from the Minister of Education and Minister of Finance before it borrowed money, which, in aggregate, involves annual repayments of more than 10% of the school's operations grant for the year.",,,,,175.595603,-40.362046
William Colenso College,"Hawke's Bay, Tairāwhiti",2020,Disagreement,"We disagreed with the Board not preparing group financial statements that included its subsidiary, the William Colenso College Charitable Trust Board. This is a departure from generally accepted accounting practice, which requires the Board to present consolidated financial statements. ",,,,,176.895837,-39.506065
Makarika School,"Hawke's Bay, Tairāwhiti",2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of fundraising revenue. The Board had limited controls over that revenue. We also could not verify expenditure transactions because there was no supporting documentation. We could not determine whether certain debtor balances are recoverable because there were long outstanding balances.,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the Covid-19 lockdown response on the school.,,,178.226095,-37.951557
Makarika School,"Hawke's Bay, Tairāwhiti",2018,Limitation,Our audit was limited because we could not get enough assurance about receipts of fundraising and activities revenue. The Board had limited controls over those revenues. We also could not verify some expenditure transactions  because there was no supporting documentation. ,Highlighted matter,We highlighted that the Board of Trustees breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2019.,,,178.226095,-37.951557
Nelson College,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Because of the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter,We highlighted that the school breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2021. We also highlighted that the school breached the law by failing to ensure that its annual cost of borrowings (interest and principal) did not exceed 10% of the operations grant. We drew attention to the serious financial difficulties that the school is experiencing. ,,,173.275569,-41.285573
Aranga School,Tai Tokerau,2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Because of the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.613785,-35.738759
Manurewa West School,Tāmaki Herenga Waka,2018,Highlighted matter,"We drew attention to disclosures outlining that the Board did not obtain concurrence from the Ministry of Education for various well-being payments, revitalisation and refreshment grants paid to the Principal as required by Circular 2013/27, Principal Concurrence. We highlighted that the Board breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2019.",,,,,174.886906,-37.024393
Pukehamoamoa School,"Hawke's Bay, Tairāwhiti",2020,Highlighted matter,We drew attention to the fact that the Board did not comply with Section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005 by breaching the borrowings threshold. Board's may only borrow to the extent that the annual repayment of interest and capital must not exceed 10% of the Board's operations grant.,,,,,176.682763,-39.547143
Albany Junior High School,Tāmaki Herenga Tāngata,2020,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,,,174.692581,-36.749098
Burnside Primary School,"Canterbury, Chatham Islands",2020,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred an operating deficit for the current year.  The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,,,172.581782,-43.512738
Rotorua Boys High School,"Bay of Plenty, Waiariki",2020,Highlighted matter,"We highlighted that the school failed to comply with section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005. This is because it failed to get permission from the Minister of Education and Minister of Finance before it borrowed money, where the repayments in the year (interest and capital) were more than 10% of the school's operations grant for the year. ",,,,,176.237477,-38.13727
Mercury Bay Area School,Waikato,2020,Highlighted matter,We highlighted that the school is experiencing serious financial difficulties because the school has incurred a deficit in the current year. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,,,175.698102,-36.841247
Ngakonui Valley School,Waikato,2020,Highlighted matter,"We drew attention to disclosures in the financial statements outlining the serious financial difficulties facing the school, which has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ",,,,,175.315069,-38.822018
Ravensbourne School,"Otago, Southland",2020,Highlighted matter,We highlighted that the school is experiencing serious financial difficulties because the school has incurred a deficit in the current year. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. The school's financial statements also referred to a breach of legislation. The Board has failed to comply with section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2005 that permit a Board to borrow within a specified limit (annual repayments of interest and capital not exceeding 10% of the Board's operations grant). Boards need Ministerial approval to exceed this limit. ,,,,,170.555576,-45.864944
Miller Avenue School,Waikato,2019,Highlighted matter,We drew attention to disclosures outlining uncertainties over the possible effects of the lockdown response to Covid-19 on the school. We highlighted that the school breached Section 87(2) of the Education Act 1989 by not completing an analysis of variance for the year ended 31 December 2019.,,,,,175.672063,-37.371748
Saint Albans Catholic School (Christchurch),"Canterbury, Chatham Islands",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,172.629095,-43.507131
Taumarunui High School,Waikato,2020,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,,,175.248127,-38.863298
Ngata Memorial College,"Hawke's Bay, Tairāwhiti",2019,Limitation,Our audit was limited because we were unable to obtain enough evidence to support the value of the provision for cyclical maintenance that had been recognised in the financial statements. We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,178.324251,-37.893015
Opihi College,"Canterbury, Chatham Islands",2019,Limitation,"Our audit was limited because we could not get enough assurance about fundraising revenue, other revenue, and donations because the Board had limited controls over those revenues. ",Highlighted matter,We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school.,,,171.293655,-44.23971
Cambridge East School,Waikato,2020,Highlighted matter,"We drew attention to disclosures in the financial statements outlining the serious financial difficulties facing the school which has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. The financial statements also referred to a breach of legislation. The Board did not comply with Section 155 of the Education and Training Act 2020 and Regulation 12 of the Crown Entities (Financial Powers) Regulations 2002. The school has not sought the Minister of Educationï¿½s approval for borrowing, which, in aggregate, involves annual repayments of interest and capital in excess of 10% of the Board's operations grant. The extent of the breach has been assessed at $1,159.  ",,,,,175.471247,-37.884048
Papatoetoe North School,Tāmaki Herenga Waka,2020,Highlighted matter,"We highlighted that the Board gave a number of hardware items costing $4,310 and a farewell event costing $8,695 to the Principal as a leaving gift. The Board also gave farewell gifts of $1,000 each to two staff members and spent $2,200 on a function for a former teacher. While they approved by the Board, we consider the amounts for gifts and events of this nature to be high. In our view, spending on farewell gifts and retirement functions should be moderate and conservative, and appropriate to the occasion.",,,,,174.835289,-36.971049
Blaketown School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.192977,-42.452586
Cobden School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.211019,-42.440339
Emmanuel Christian School,"Canterbury, Chatham Islands",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.588279,-43.478668
Granity School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.85248,-41.630018
Greymouth Main School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.197272,-42.466692
St Joseph's School (Grey Lynn),Tāmaki Herenga Waka,2020,Highlighted matter,"We drew attention to disclosures in the financial statements outlining the serious financial difficulties facing the school, which has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ",,,,,174.739932,-36.867102
St Joseph's School (Grey Lynn),Tāmaki Herenga Waka,2019,Highlighted matter,"We drew attention to disclosures in the financial statements outlining the serious financial difficulties facing the school, which has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. We also drew attention to disclosures outlining uncertainties over the possible effects of the Covid-19 lockdown on the school.",,,,,174.739932,-36.867102
Lynmore Primary School,"Bay of Plenty, Waiariki",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.284337,-38.144565
Ngata Memorial College,"Hawke's Bay, Tairāwhiti",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.324251,-37.893015
Okiwi School,Tāmaki Herenga Manawa,2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.394392,-36.154905
Saint Mary's School (Blenheim),"Nelson, Marlborough, West Coast",2020,Limitation,Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The Board did not have an up-to-date 10-year property plan.  ,,,,,173.952782,-41.517618
Springston School,"Canterbury, Chatham Islands",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.425734,-43.644586
St Peter's College Hostel Charitable Trust Group,"Otago, Southland",2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of hostel canteen  income. The Board had limited controls over that revenue. We also could not verify the accuracy of numerical inputs and outputs in the statement of service performance because there were insufficient supporting documentation. ,Highlighted matter,We drew attention to disclosures outlining the impact of Covid-19 on the Group.,,,168.924031,-46.107165
Waiau School,"Canterbury, Chatham Islands",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.04201,-42.653683
Waitaria Bay School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.044022,-41.158283
Westbrook School,"Bay of Plenty, Waiariki",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.218749,-38.150636
Linkwater School,"Nelson, Marlborough, West Coast",2020,Limitation,Our audit was limited because we could not get enough assurance about fundraising revenue because the Board had limited controls over those revenues. ,,,,,173.87947,-41.289162
St Peter's College Hostel Limited,"Otago, Southland",2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of hostel canteen income. The Board had limited controls over that revenue. We also could not verify the accuracy of numerical inputs and outputs in the statement of service performance because there were insufficient supporting documentation. ,Highlighted matter,We drew attention to disclosures outlining the impact of Covid-19 on the company.,,,168.924031,-46.107165
Tinui School,Wellington,2020,Limitation,"Our audit of the comparative information included in the current financial statements was limited because we previously could not get enough assurance about, and the Board had limited controls over, fundraising revenue for the year ended 31 December 2019.",,,,,176.072881,-40.877917
Piopio College,Waikato,2019,Highlighted matter,"We drew attention to disclosures outlining four matters regarding the uncertainties over the possible effects of the Covid-19 lockdown response on the school, a breach of legislation due to a failure to submit its financial statements to the Ministry of Education by 31 May 2020, a breach of legislation relating to payroll advances (Section 154 of the Education and Training Act 2020), and the non-disclosure of information for an overseas trip. ",,,,,175.014155,-38.472653
Renew School,Tai Tokerau,2019,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. ",Highlighted matter,We drew attention to disclosures outlining the uncertainties over the possible effects of lockdown response to Covid-19 on the school.,,,174.316496,-35.730346
Sacred Heart College (Auckland),Tāmaki Herenga Manawa,2018,Highlighted matter,"We drew attention to several disclosures in the financial statements. First, the close relationships between the school and its related organisations, which are not public entities, all which have trustees in common, which might give rise to conflicts of interest. Secondly, we highlighted the inappropriate use of public money for fundraising and hospitality without a clear benefit to the school. The school incurred costs so the Sacred Heart Foundation, which is a private entity, could maintain relationships with alumni and raise revenue from them. There was no clear expectation that the school would receive any benefits from this spending. Thirdly, we drew attention to disclosures about the impact of Covid-19 on the school. Finally, we highlighted that the school breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2019.",,,,,174.872413,-36.868894
St Peter's College Hostel Limited,"Otago, Southland",2018,Limitation,Our audit was limited because we could not get enough assurance about receipts of hostel canteen income. The Board had limited controls over that revenue. We also could not verify the accuracy of numerical inputs and outputs in the statement of service performance because there were insufficient supporting documentation.,Highlighted matter, We drew attention to disclosures outlining the impact of Covid-19 on the company.,,,168.924031,-46.107165
St Peter's College Foundation,"Otago, Southland",2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of cash. The Board had limited controls over that revenue. We drew attention to disclosures outlining that the Board appropriately used a disestablishment basis when preparing the financial statements because the Foundation was to be wound up.,,,,,168.924031,-46.107165
St Peter's College Foundation,"Otago, Southland",2018,Limitation,Our audit was limited because we could not get enough assurance about receipts of cash. The Board had limited controls over that revenue. We drew attention to disclosures outlining that the Board appropriately used a disestablishment basis when preparing the financial statements because the Foundation was to be wound up.,,,,,168.924031,-46.107165
Tauhara School,"Bay of Plenty, Waiariki",2020,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,,,176.100389,-38.691376
Te Kura Kaupapa Maori o Otepou,"Bay of Plenty, Waiariki",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter,We highlighted that the school breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2021. ,,,176.241569,-37.718298
Taumarunui High School,Waikato,2020,Highlighted matter,"We drew attention to disclosures referring to the school's working capital deficit of $459,074. The school's financial statements have been prepared on a going concern basis which is dependent on the continuing support of the Ministry of Education. The Ministry of Education have confirmed they will continue to provide the school with resources so that it might meet its obligations as they fall due.",,,,,175.248127,-38.863298
Te Kura Kaupapa o Te Puaha o Waikato School,Waikato,2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of fundraising and activities revenue. The Board had limited controls over those revenues.,Highlighted matter,We drew attention to disclosures about the school's serious financial difficulties. It incurred a deficit in the current year. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. ,,,174.724639,-37.392886
Te Kura o Pakipaki,"Hawke's Bay, Tairāwhiti",2018,Pervasive limitation,"We were unable to form an opinion because we could not get enough audit evidence about locally raised funds revenue and expenditure, and the corresponding accounts receivable, GST receivable, and accounts payable. This is because the school had a lack of controls over cash receipting and expenditure from a bank account administered directly by the school, and a lack of supporting documents for some transactions. We also identified a vehicle in the school's asset register that was not registered in the name of the school.",Highlighted matter,"We drew attention to a number of disclosures outlining several matters. First, the school had breached the law by failing to keep appropriate accounting records to allow the financial statements to be readily and properly audited, and to submit financial statements for audit by 31 March 2019, and the audited financial statements to the Ministry of Education by 31 May 2019. Secondly, we drew attention to the school's disclosures about the possible effects of Covid-19.",,,176.787193,-39.687956
Te Kura o Pakipaki,"Hawke's Bay, Tairāwhiti",2019,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because in the year ending 31 December 2018, we were unable get enough assurance about locally raised funds and expenditure, and the corresponding accounts receivable, GST receivable, and accounts payable, and adequate documentation for some transactions. This is because the school did not have adequate controls over cash receipting and expenditure from a bank account administered by the school. ",,We drew attention to the school's disclosures about the possible effects of Covid-19.,,,176.787193,-39.687956
Te Kura o Hata Maria (Pawarenga),Tai Tokerau,2020,Highlighted matter,We drew attention to disclosures about the Board using a disestablishment basis of accounting to prepare its financial statements because the school closed on 28 April 2020.,,,,,173.289595,-35.337097
Te Waha o Rerekohu Combined Schools Board,"Hawke's Bay, Tairāwhiti",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.365549,-37.633719
Wakanui School,"Canterbury, Chatham Islands",2019,Limitation,"Our audit on the corresponding figures on the provision of cyclical maintenance was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance for the year ended 31 December 2018 was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. The property plan has been updated during the 2019 financial year. ",Highlighted matter,We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,171.822857,-43.973865
Westbrook School,"Bay of Plenty, Waiariki",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.218749,-38.150636
Te Waha o Rerekohu Combined Schools Board,"Hawke's Bay, Tairāwhiti",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.365549,-37.633719
The Taumarunui High School Community Trust,Waikato,2020,Limitation,Our audit was limited because we could not get enough assurance about revenues that the Board had limited controls over. ,,,,,175.248127,-38.863298
Westminster Christian School,Tāmaki Herenga Tāngata,2019,Highlighted matter,"We drew attention to disclosures in the financial statements outlining the serious financial difficulties facing the school, which has incurred several deficits over recent years. The school's financial statements are prepared on a going concern basis. The going concern assumption is dependent on the continuing support from the Ministry of Education. The Ministry of Education has confirmed it will continue to provide the school with resources so it may meet its obligations as they fall due. We also drew attention to disclosures outlining uncertainties over the possible effects of the lockdown response to Covid-19 on the school. The school's financial statements also referred to a breach of legislation. Section 155 of the Education and Training Act 2020 and clause 12 of the Crown Entities (Financial Powers) Regulations 2005 permit a Board to borrow within a specified limit. Boards need Ministerial approval to exceed this limit. During the year repayments of loans exceeded this limit. These transactions had not received Ministerial approval.",,,,,174.710163,-36.76112
Pongakawa School,"Bay of Plenty, Waiariki",2020,Highlighted matter,"We drew attention to disclosures outlining that the school had reversed its provision for cyclical maintenance. There was uncertainty about the property maintenance the school is obliged to carry out, given the Ministry of Education's weathertightness project in the School.",,,,,176.47693,-37.837505
Tauhara College,"Bay of Plenty, Waiariki",2020,Highlighted matter,We drew attention to the provision of cyclical maintenance being reversed in the statement of comprehensive revenue and expense because there is significant uncertainty about how the Ministry of Educationï¿½s refurbishment and redevelopment project will affect the school and the property maintenance it is obliged to carry out.,,,,,176.104929,-38.697481
Te Kura o Matapihi,"Bay of Plenty, Waiariki",2020,Highlighted matter,We drew attention to the provision of cyclical maintenance being reversed in the statement of comprehensive revenue and expense because there is significant uncertainty about how the Ministry of Educationï¿½s refurbishment and redevelopment project will affect the school and the property maintenance it is obliged to carry out.,,,,,176.194451,-37.697147
Tongariro School,"Bay of Plenty, Waiariki",2020,Highlighted matter,We drew attention to the provision of cyclical maintenance being reversed in the statement of comprehensive revenue and expense because there is significant uncertainty about how the Ministry of Educationï¿½s refurbishment and redevelopment project will affect the school and the property maintenance it is obliged to carry out.,,,,,175.815059,-38.98579
Lindisfarne College,"Hawke's Bay, Tairāwhiti",2020,Highlighted matter,"We drew attention to disclosures outlining that the school received $123,703 under the Covid-19 wage subsidy scheme. The school did not meet the Ministry of Social Development's eligibility criteria as it did not experience a minimum decline of 30% in total revenue in 2020 when compared with the relevant month in 2019.  State sector organisation (including schools) were generally not eligible to receive the wage subsidy unless they asked their monitoring agency (the Ministry of Education) for an exception. To date we have not seen any evidence that the school applied for and received an exception.",,,,,176.836815,-39.625798
Ponsonby Primary School,Tāmaki Herenga Manawa,2020,Highlighted matter,"We drew attention to disclosures outlining that the school received $49,207 under the Covid-19 wage subsidy scheme because it was unable to hold its Taste of Ponsonby event during the Covid-19 Alert Level 4 lockdown. The school did not meet the Ministry of Social Development's eligibility criteria as it did not experience a 30% decline in total revenue in May 2020 when compared to May 2019. The school with the Ministry of Education did not apply for and received an exception to become eligible to apply for the wage subsidy.",,,,,174.738996,-36.842089
Albany Junior High School,Tāmaki Herenga Tāngata,2019,Highlighted matter,We drew attention to disclosures about the school's serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.692581,-36.749098
Arthur Street School,"Otago, Southland",2019,Highlighted matter,We drew attention to disclosures outlining that the school had reversed its provision for cyclical maintenance. There was uncertainty about the property maintenance the school is obliged to carry out due to significant issues about how the Ministry of Education's full rebuild of the school will affect the school and the property maintenance it is obliged to carry out.,,,,,170.49515,-45.872617
Blue Mountain College,"Otago, Southland",2019,Limitation,"Our audit of the comparative information in the financial statements was limited. In the prior year we had been unable to get enough assurance about $52,000 of the $306,113 that was spent on an overseas trip. However, for the current year, we could get enough assurance that expenses under the direct control of the Board were not materially misstated. ",,,,,169.258764,-45.939858
Cambridge East Primary School,Waikato,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,175.471247,-37.884048
Combined Board South Auckland Middle School and Middle School West Auckland,Tāmaki Herenga Waka,2018,Limitation,"Our audit was limited because we could not get enough assurance about expenditure of $467,391 the Board paid for services from Villa Education Trust, the previous sponsor of the schools when they were charter schools, before their transition to state designated character schools. The Combined Board has the same members as the board of trustees of the Villa Education Trust, with the addition of the Principals of both schools. ",Highlighted matter,We also highlighted that the Board of Trustees breached the law by failing to submit its financial statements to the Ministry of Education by 31 May 2019.,,,174.88353,-37.040239
Golden Bay High School,"Nelson, Marlborough, West Coast",2019,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.808357,-40.848048
Green Island School,"Otago, Southland",2019,Highlighted matter,We drew attention to disclosures outlining the fact that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,170.429455,-45.90477
Greerton Village School,"Bay of Plenty, Waiariki",2019,Highlighted matter,We drew attention to disclosures about the school's serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,176.133809,-37.728178
Hagley Community College,"Canterbury, Chatham Islands",2019,Highlighted matter,"We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. We also drew attention to disclosures about the provision for cyclical maintenance being reversed in 2019. There was much uncertainty about the property maintenance the school should have, because the school is part of Christchurch Schools Rebuild Programme.",,,,,172.623008,-43.537243
Halfway Bush School,"Otago, Southland",2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. We also drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,170.465985,-45.857001
Hilltop School,"Bay of Plenty, Waiariki",2019,Highlighted matter,"We highlighted that the school failed to comply with the Education Act 1989. This is because the school did not get permission from the Ministers of Education and Finance before it borrowed money, where the amount to be repaid, in total, was more than 10% of the school's operational activities grant for the year. ",,,,,176.092077,-38.700817
Homai Early Childhood Centre,Tāmaki Herenga Waka,2019,Highlighted matter,We drew attention to disclosures outlining that the Centre was wound up with effect from 1 January 2020. We highlighted that the previous audit report was replaced because it incorrectly included a breach of statutory reporting deadline of 31 May 2020 when the Centre's reporting deadline was 30 June 2020.,,,,,174.880252,-37.01243
Howick College,Tāmaki Herenga Manawa,2019,Highlighted matter,We drew attention to disclosures explaining that the school anticipates that it may experience a significant reduction in revenue because of Covid-19 and may not be able to reduce its costs as quickly. The school has obtained a letter of support from the Minstry of Education to ensure that it can meet its obligations as they fall due.,,,,,174.939278,-36.90657
Kadimah School,Tāmaki Herenga Manawa,2019,Highlighted matter,"We drew attention to disclosures outlining the fact that the school is experiencing serious financial difficulties because the school has incurred several deficits over recent years. As a result, the school relies on support from the Ministry of Education to meet its obligations as they fall due. ",,,,,174.759746,-36.855598
Kaihu Valley School,Tai Tokerau,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,173.738754,-35.799333
